2000,1.0,4.0,5.5,11.0,15.0
4000,1.0,4.0,5.5,11.0,15.0
6000,1.0,4.1598,5.116,11.0,15.0
8000,1.0001,4.3006,5.9790,11.0,15.0
10000,1.0025,4.4392,6.4749,11.0,15.0
14000,1.0895,4.6817,7.4145,11.0,15.0
18000,1.6972,4.9099,8.2289,11.0,15.0
22000,3.6552,5.2354,8.9509,11.0,15.0
26000,7.6838,5.8181,9.6621,11.0,15.0
